"","country","date","continent","population","vaccines","total_vaccinations_per_hundred","value","n_tweets"
"1","Afghanistan",2020-12-14,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"2","Afghanistan",2020-12-15,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"3","Afghanistan",2020-12-16,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"4","Afghanistan",2020-12-17,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"5","Afghanistan",2020-12-18,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"6","Afghanistan",2020-12-19,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"7","Afghanistan",2020-12-20,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"8","Afghanistan",2020-12-21,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"9","Afghanistan",2020-12-22,"Asia",39074280,"Oxford/AstraZeneca",0,2,1
"10","Afghanistan",2020-12-23,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"11","Afghanistan",2020-12-24,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"12","Afghanistan",2020-12-25,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"13","Afghanistan",2020-12-26,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"14","Afghanistan",2020-12-27,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"15","Afghanistan",2020-12-28,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"16","Afghanistan",2020-12-29,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"17","Afghanistan",2020-12-30,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"18","Afghanistan",2020-12-31,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"19","Afghanistan",2021-01-01,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"20","Afghanistan",2021-01-02,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"21","Afghanistan",2021-01-03,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"22","Afghanistan",2021-01-04,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"23","Afghanistan",2021-01-05,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"24","Afghanistan",2021-01-06,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"25","Afghanistan",2021-01-07,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"26","Afghanistan",2021-01-08,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"27","Afghanistan",2021-01-09,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"28","Afghanistan",2021-01-10,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"29","Afghanistan",2021-01-11,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"30","Afghanistan",2021-01-12,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
